tracer,z,observable,value,sigma,corr_group,corr_with_pair
BGS,0.295,DVrd,7.942,0.075,,
LRG1,0.510,DMrd,13.588,0.167,LRG1,-0.459
LRG1,0.510,DHrd,21.863,0.425,LRG1,-0.459
LRG2,0.706,DMrd,17.351,0.177,LRG2,-0.404
LRG2,0.706,DHrd,19.455,0.330,LRG2,-0.404
LRG3_ELG1,0.934,DMrd,21.576,0.152,LRG3_ELG1,-0.416
LRG3_ELG1,0.934,DHrd,17.641,0.193,LRG3_ELG1,-0.416
ELG2,1.321,DMrd,27.601,0.318,ELG2,-0.434
ELG2,1.321,DHrd,14.176,0.221,ELG2,-0.434
QSO,1.484,DMrd,30.512,0.760,QSO,-0.500
QSO,1.484,DHrd,12.817,0.516,QSO,-0.500
LYA,2.330,DMrd,38.988,0.531,LYA,-0.431
LYA,2.330,DHrd,8.632,0.101,LYA,-0.431
